element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team,web_name,element_type
65,36,12,0,False,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-392,4647,114,506,3,Stacey,2
66,36,12,1,False,2022-08-27T14:00:00Z,9,0,4,45,0,0,0,4,0,0,0,0,0,0,0,1,0.0,1.4,2.0,0.3,58,-16512,47145,382,16894,3,Solanke,4
67,36,12,2,False,2022-08-27T14:00:00Z,9,0,4,76,0,0,0,7,0,0,0,0,0,0,0,11,6.4,0.3,0.0,0.7,49,-509,5132,265,774,3,Cook,3
68,36,12,1,False,2022-08-27T14:00:00Z,9,0,4,4,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,-5840,52848,4428,10268,3,Pearson,3
69,36,12,1,False,2022-08-27T14:00:00Z,9,0,4,45,0,0,0,5,0,0,0,0,0,0,0,4,1.4,10.5,8.0,2.0,54,-829,5865,149,978,3,Christie,3
70,36,12,1,False,2022-08-27T14:00:00Z,9,0,4,45,0,0,0,4,0,0,0,0,0,0,0,4,6.8,1.0,0.0,0.8,54,-1954,10099,232,2186,3,Billing,3
71,36,12,-4,False,2022-08-27T14:00:00Z,9,0,4,81,0,0,0,8,1,0,0,0,0,0,0,4,3.4,0.2,0.0,0.4,45,-1054,10897,241,1295,3,Mepham,2
72,36,12,-1,False,2022-08-27T14:00:00Z,9,0,4,90,0,0,0,9,0,0,0,0,0,4,0,17,31.8,0.0,0.0,3.2,45,-3382,51477,1217,4599,3,Travers,1
73,36,12,0,False,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-14199,126992,4450,18649,3,Kelly,2
74,36,12,0,False,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1146,8628,225,1371,3,Dembélé,3
75,36,12,2,False,2022-08-27T14:00:00Z,9,0,4,90,0,0,0,9,0,0,0,0,0,0,0,4,5.4,1.1,7.0,1.4,54,-802,6399,242,1044,3,Anthony,3
76,36,12,-2,False,2022-08-27T14:00:00Z,9,0,4,90,0,0,0,9,0,0,0,0,0,0,0,12,22.6,11.4,0.0,3.4,44,-135,14021,1825,1960,3,Zemura,2
77,36,12,0,False,2022-08-27T14:00:00Z,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1943,60488,1503,3446,3,Dennis,1
78,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10521,180714,7578,18099,4,Jansson,2
79,33,8,2,True,2022-08-27T14:00:00Z,1,1,4,68,0,0,0,1,0,0,0,0,0,0,0,13,18.0,12.3,49.0,7.9,55,8224,39922,12550,4326,4,Nørgaard,3
80,33,8,2,True,2022-08-27T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,16.6,11.0,2.8,72,555597,1915935,633498,77901,4,Toney,4
81,33,8,6,True,2022-08-27T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,6,2,25,41.0,0.0,0.0,4.1,45,21445,611992,64060,42615,4,Raya,1
82,33,8,0,True,2022-08-27T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-133,1170,129,262,4,Canós,2
